https://new.c.mi.com/global/miuidownload/detail/guide/global
  

老机型：
MI 1S	mione
Mi 2A	taurus
MI 2S	aries
MI 3 TD	pisces
MI 4i	ferrari
Mi 4c	libra
MI 4S	aqua
Mi Note Pro	leo
Mi Max	hydrogen
Mi Max Prime	helium
MiPad 1	mocha
Mi Pad 3	cappu

Redmi 1	HM2013022
Redmi 1 W	HM2013023
Redmi 1S	armani
Redmi 1S TD 3G	HM2014011
Redmi 1S TD 4G	HM2014501
Redmi 2 LTE	HM2014811
Redmi 2 LTE	HM2014813
Redmi 2/Redmi 2 Pro	wt86047
Redmi 2/Redmi 2 Pro	wt88047
Redmi 3/3 Pro	ido
Redmi 4	prada
Redmi 4A	rolex

Redmi Note 3G/Redmi Note 1 TD	lcsh92
Redmi Note 1S 4G	gucci
Redmi Pro omega
